company_name,total_promoter_holding_pct,promoter_shares_encumbered,promoter_shares_encumbered_pct
GFL Limited,68.72,0.0,0.0
GHCL Limited,19.04,200244.0,1.1
GIC Housing Finance Limited,42.41,0.0,0.0
GKW Limited,75.0,0.0,0.0
GM Breweries Limited,74.43,0.0,0.0
GMR Airports Infrastructure Limited,59.07,2069313714.0,58.03
GNA Axles Limited,67.81,0.0,0.0
GOCL Corporation Limited,72.82,0.0,0.0
GP Petroleums Limited,53.44,0.0,0.0
GPT Infraprojects Limited,69.05,59335440.0,68.0
GRP Limited,40.3,0.0,0.0
GSS Infotech Limited,14.05,0.0,0.0
GTL Infrastructure Limited,3.28,420144016.0,100.0
GTL Limited,14.29,22000000.0,97.86
GTPL Hathway Limited,75.0,0.0,0.0
GVK Power & Infrastructure Limited,54.25,0.0,0.0
Gabriel India Limited,55.0,0.0,0.0
Galaxy Surfactants Limited,70.91,4155.0,0.02
Gallantt Ispat Limited,68.93,510500.0,0.31
Gandhi Special Tubes Limited,73.53,0.0,0.0
Ganesh Housing Corporation Limited,73.06,0.0,0.0
Ganesha Ecosphere Limited,36.6,0.0,0.0
Gangotri Textiles Limited,24.53,5987593.0,74.84
Gayatri Highways Limited,61.15,133199035.0,90.89
Gayatri Projects Limited,3.94,5346085.0,72.4
GeeCee Ventures Limited,67.71,0.0,0.0
Genesys International Corporation Limited,37.86,786046.0,5.24
Gensol Engineering Limited,62.77,18647052.0,78.44
Genus Paper & Boards Limited,50.51,26500000.0,20.41
Genus Power Infrastructures Limited,39.34,79831609.0,66.79
Geojit Financial Services Limited,54.59,0.0,0.0
Ghcl Textiles Limited,19.16,200244.0,1.09
Gillanders Arbuthnot & Company Limited,69.08,0.0,0.0
Gillette India Limited,75.0,0.0,0.0
Ginni Filaments Limited,69.72,10408300.0,17.43
Gitanjali Gems Limited,27.76,25866102.0,78.56
GlaxoSmithKline Pharmaceuticals Limited,75.0,0.0,0.0
Glenmark Life Sciences Limited,75.0,0.0,0.0
Glenmark Pharmaceuticals Limited,46.65,0.0,0.0
Global Vectra Helicorp Limited,75.0,0.0,0.0
Globe Textiles (India) Limited,42.11,0.0,0.0
Globus Spirits Limited,50.9,0.0,0.0
Gmr Power And Urban Infra Limited,59.83,270250000.0,74.84
Go Fashion (India) Limited,52.79,4656200.0,16.33
Goa Carbon Limited,59.72,0.0,0.0
Godawari Power And Ispat limited,63.26,0.0,0.0
Godfrey Phillips India Limited,72.99,0.0,0.0
Godha Cabcon & Insulation Limited,0.02,0.0,0.0
Godrej Consumer Products Limited,63.0,4263670.0,0.66
Godrej Industries Limited,67.16,12708622.0,5.62
Godrej Properties Limited,58.48,0.0,0.0
Goenka Diamond and Jewels Limited,57.55,0.0,0.0
Gokaldas Exports Limited,9.39,0.0,0.0
