symbol,market_cap
GOLDBND,10.6
GOLDCASE,2224.67
GOLDENTOBC,47.9
GOLDETF,3092.67
GOLDIAM,4251.36
GOLDIETF,26530.63
GOLDSTAR,197.48
GOLDTECH,208.0
GOODLUCK,4161.46
GOODYEAR,1804.84
GOPAL,3381.09
GOYALALUM,101.91
GOYALSALT,214.89
GPECO,448.39
GPIL,19922.75
GPPL,7522.81
GPTHEALTH,1128.25
GPTINFRA,1433.1
GRANDOAK,1582.59
GRANULES,17370.56
GRAPHITE,13752.49
GRASIM,190138.49
GRAUWEIL,3159.37
GRAVISSHO,192.52
GRAVITA,12007.9
GRCL,242.8
GREAVESCOT,3854.6
GREENLAM,5821.19
GREENLEAF,44.17
GREENPANEL,2809.88
GREENPLY,3301.79
GREENPOWER,1475.66
GRINDWELL,17283.39
GRINFRA,9008.41
GRMOVER,3046.13
GROBTEA,106.93
GROWW,134888.6
GROWWCAPM,29.5
GROWWCHEM,8.84
GROWWDEFNC,318.02
GROWWEV,267.33
GROWWGOLD,451.63
GROWWHOSPI,35.75
GROWWLIQID,103.53
GROWWLOVOL,4.22
GROWWMC150,5.81
GROWWMETAL,38.45
GROWWMOM50,25.75
GROWWN200,16.61
GROWWNET,31.01
GROWWNIFTY,30.73
GROWWNXT50,8.54
GROWWPOWER,251.68
GROWWPSE,18.31
GROWWPSUBK,5.72
GROWWRAIL,133.1
GROWWRLTY,15.22
GROWWSC250,15.75
GROWWSLVR,326.23
GRPLTD,1029.28
GRSE,33747.02
GRWRHITECH,9294.12
GSEC10ABSL,31.13
GSEC10YEAR,94.32
GSEC5IETF,20.17
GSFC,6809.58
GSLSU,243.7
GSMFOILS,289.61
GSPCROP,1966.35
GSPL,16096.95
GSS,36.07
GTECJAINX,20.58
GTL,116.24
GTLINFRA,1575.52
GTPL,754.74
GUFICBIO,2853.04
GUJALKALI,5853.59
GUJAPOLLO,557.71
GUJGASLTD,26224.22
GUJRAFFIA,22.7
GUJTHEM,3944.54
GULFOILLUB,4886.43
GULFPETRO,168.25
GULPOLY,1126.79
GURUNANAK,46.44
GVKPIL,525.88
GVPIL,4062.89
GVPTECH,115.96
GVPTECHPP,6.61
HAL,289579.58
HALDER,293.94
HALDYNGL,578.64
HALEOSLABS,445.36
HAPPSTMNDS,5684.42
HAPPYFORGE,12690.14
HARDWYN,1330.98
HARIOMPIPE,1031.52
HARRMALAYA,411.56
HARSHA,3519.77
HATHWAY,1938.26
HATSUN,21495.21
HAVELLS,77968.03
HAVISHA,24.57
HAWKINCOOK,3963.22
HBESD,164.05
HBLENGINE,22109.07
HBSL,45.0
HCC,5789.02
HCG,8613.24
HCL-INSYS,401.64
HCLTECH,326019.72
HDBFS,54706.11
HDFCAMC,116526.24
HDFCBANK,1192739.45
HDFCBSE500,22.81
HDFCGOLD,21787.08
HDFCGROWTH,21.62
HDFCLIFE,127095.57
HDFCLIQUID,52.74
HDFCLOWVOL,33.82
HDFCMID150,180.21
HDFCMOMENT,127.37
HDFCNEXT50,173.88
HDFCNIF100,77.69
HDFCNIFBAN,5362.71
HDFCNIFIT,115.46
HDFCNIFTY,4929.15
HDFCPSUBK,33.59
HDFCPVTBAN,731.76
HDFCQUAL,20.12
HDFCSENSEX,953.96
